UMIs	ah5_path	bai_path	bam_path	celltype	designs	library_type	sample	sequencing_type	sorting
FALSE	kallisto_sample_MR_54_2_S141373/abundance.h5	star_sample_MR_54_2_S141373/star_sample_MR_54_2_S141373.bai	star_sample_MR_54_2_S141373/star_sample_MR_54_2_S141373.bam	Eos	global	first	MR_54_2_S141373	SE	BSF_1518_HM7FMDRX3_1_MR_54_02
FALSE	kallisto_sample_MR_54_31_S141401/abundance.h5	star_sample_MR_54_31_S141401/star_sample_MR_54_31_S141401.bai	star_sample_MR_54_31_S141401/star_sample_MR_54_31_S141401.bam	NeuP	global	first	MR_54_31_S141401	SE	BSF_1518_HM7FMDRX3_1_MR_54_31
FALSE	kallisto_sample_MR_54_32_S141404/abundance.h5	star_sample_MR_54_32_S141404/star_sample_MR_54_32_S141404.bai	star_sample_MR_54_32_S141404/star_sample_MR_54_32_S141404.bam	NeuP	global	first	MR_54_32_S141404	SE	BSF_1518_HM7FMDRX3_1_MR_54_32
FALSE	kallisto_sample_MR_54_33_S141403/abundance.h5	star_sample_MR_54_33_S141403/star_sample_MR_54_33_S141403.bai	star_sample_MR_54_33_S141403/star_sample_MR_54_33_S141403.bam	NeuP	global	first	MR_54_33_S141403	SE	BSF_1518_HM7FMDRX3_1_MR_54_33
FALSE	kallisto_sample_MR_54_34_S141406/abundance.h5	star_sample_MR_54_34_S141406/star_sample_MR_54_34_S141406.bai	star_sample_MR_54_34_S141406/star_sample_MR_54_34_S141406.bam	NeuP	global	first	MR_54_34_S141406	SE	BSF_1518_HM7FMDRX3_1_MR_54_34
FALSE	kallisto_sample_MR_54_35_S141405/abundance.h5	star_sample_MR_54_35_S141405/star_sample_MR_54_35_S141405.bai	star_sample_MR_54_35_S141405/star_sample_MR_54_35_S141405.bam	NeuP	global	first	MR_54_35_S141405	SE	BSF_1518_HM7FMDRX3_1_MR_54_35
FALSE	kallisto_sample_MR_54_36_S141408/abundance.h5	star_sample_MR_54_36_S141408/star_sample_MR_54_36_S141408.bai	star_sample_MR_54_36_S141408/star_sample_MR_54_36_S141408.bam	NeuP	global	first	MR_54_36_S141408	SE	BSF_1518_HM7FMDRX3_1_MR_54_36
FALSE	kallisto_sample_MR_54_37_S141407/abundance.h5	star_sample_MR_54_37_S141407/star_sample_MR_54_37_S141407.bai	star_sample_MR_54_37_S141407/star_sample_MR_54_37_S141407.bam	EosP	global	first	MR_54_37_S141407	SE	BSF_1518_HM7FMDRX3_1_MR_54_37
FALSE	kallisto_sample_MR_54_38_S141410/abundance.h5	star_sample_MR_54_38_S141410/star_sample_MR_54_38_S141410.bai	star_sample_MR_54_38_S141410/star_sample_MR_54_38_S141410.bam	EosP	global	first	MR_54_38_S141410	SE	BSF_1518_HM7FMDRX3_1_MR_54_38
FALSE	kallisto_sample_MR_54_39_S141409/abundance.h5	star_sample_MR_54_39_S141409/star_sample_MR_54_39_S141409.bai	star_sample_MR_54_39_S141409/star_sample_MR_54_39_S141409.bam	EosP	global	first	MR_54_39_S141409	SE	BSF_1518_HM7FMDRX3_1_MR_54_39
